COTAÇÃO DE PRODUTOS - EXEMPLO COMPLETO
REF,DESCRIPTION,NAME,REMARK,OBS,NCM,English Description,PHOTO,CTNS,UNIT/CTN,QTY,U.PRICE,UNIT,AMOUNT,L,W,H,CBM,CBM TOTAL,G.W,T.G.W,N.W,T.N.W,Peso Unitário(g)
T608,Carrinho de carga,拉杆车,1pc/吸塑 材料:铝+PP 净重:2.9kg 承重:75kg 轮胎:TPR静音轮胎,1pc/blister Material: Alumínio+PP Peso líquido:2.9kg Peso de carga:75kg Roda:roda silenciosa de TPR,3926.90.90,Trolley cart with aluminum+PP material,,,,84,6,504,68.00,PC,34272.00,63,39,28,0.07,5.78,18.00,1512.00,17.40,1461.60,2900
106-6S,Carrinho de carga,拉杆车,1pc/吸塑 材料:铝+PP 净重:3.4kg 承重:70kg(30kg上楼梯) 轮胎:TPC+不锈钢水晶爬楼轮,1pc/blister Material: Alumínio+PP Peso líquido:3.4kg Peso de carga:70kg(30kg nas escadas) Roda:TPC+aço,3926.90.90,Trolley cart with aluminum+PP material,,,,84,6,504,85.00,PC,42840.00,64,39,39,0.10,8.18,21.40,1797.60,20.40,1713.60,3400
